JOMP-14-33-g002	histological section of the right kidney showing a giant cell carcinoma in the dermis . <EOS>
12891_2015_455_Fig2_HTML	ultrasound scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic mass.ultrasound scan of the right eye showing a large mass in the right lower lobe with a large cystic mass.ultrasound scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic lesion
wjem-9-0028f6	the ecg of the patient in a patient with a history of the left coronary artery in the left coronary.the ecg of the patient in a patient with a history of the left coronary artery in the right coronary.the ecg of the patient in a patient with a history of the left coronary artery in the left eye
TOOPHTJ-8-24_F1	intraoperative picture <EOS>.intraoperative view of the lesion <EOS>.intraoperative view of the lesion in the right lower lobe <EOS>
jkns-53-112-g001	ct scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount of.ct scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass in.ct scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic mass
eplasty10e41_fig2	intraoperative photograph of the right eye showing a large cystic mass in the right upper lobe of the right lower.intraoperative photograph of the right eye showing a large cystic mass in the right upper lobe of the right eye.intraoperative photograph of the right eye showing a large cystic mass in the right upper lobe of the right upper
12913_2015_694_Fig1_HTML	preoperative x-ray of the left eye showing the presence of the lesion in the right lower lobe of the right.preoperative x-ray of the left eye showing the presence of the lesion in the right lower lobe of the left.preoperative x-ray of the left eye showing the presence of the lesion in the right lower lobe and the right
crt-45-74-g002	histological section of the liver showing a giant cell carcinoma in the dermis . <EOS>
IJSS-9-14444-2001-g001	axial ct scan of the abdomen showing a large cystic mass in the right lobe of the right lower lobe.axial ct scan of the abdomen showing a large cystic mass in the right lobe of the right lobe of.axial ct scan of the abdomen showing a large cystic mass in the right lobe of the right kidney .
1757-1626-2-9377-2	clinical photograph <EOS>
gnl-6-516-g001	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
pone.0090844.g006	chest computed tomography scan of the abdomen showing a large mass in the right lower lobe of the right lower.chest computed tomography scan of the abdomen showing a large mass in the right lower lobe of the right lung.chest computed tomography scan of the abdomen showing a large mass in the right lower lobe of the right kidney
IJRI-19-75-g001	ultrasound scan of the abdomen showing a large mass in the right upper lobe of the right lobe of the.ultrasound scan of the abdomen showing a large mass in the right upper lobe of the right lower lobe with.ultrasound scan of the abdomen showing a large mass in the right upper lobe of the right lower lobe and
can-8-412fig1	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
HV-15-57-g001	ultrasound scan of the right eye showing a large cystic mass in the right upper lobe of the right kidney.ultrasound scan of the right eye showing a large cystic mass in the right upper lobe of the right lower.ultrasound scan of the right eye showing a large cystic mass in the right upper lobe of the right lobe
1752-1947-7-49-3	histological section of the resected specimen showing a giant cell carcinoma in the dermis . <EOS>
IJMR-140-441-g002	photomicrograph of the biopsy specimen showing a giant cell carcinoma in the dermis . <EOS>.photomicrograph of the biopsy specimen showing a giant cell carcinoma in the dermis with a giant cell carcinoma . <EOS>
srep11000-f4	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
fsurg-01-00042-g015	clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and the.clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and a.clinical photograph of the patient showing a swelling in the right lower lobe of the left lower lobe and the
jcu-22-32-g004	histological section of the resected specimen showing a giant cell carcinoma in the dermis . <EOS>
mv-v15-1580-f5	ultrasound scan of the right eye showing a large cystic mass in the right lower lobe with a large cystic.ultrasound scan of the left eye showing a large cystic mass in the right lower lobe with a large cystic.ultrasound scan of the right eye showing a large cystic mass in the right upper lobe with a large cystic
jkms-24-203-g001	magnetic resonance imaging of the brain showing a hyperintense lesion in the right frontal lobe and the right frontal lobe.magnetic resonance imaging of the brain showing a hyperintense lesion in the right frontal lobe and the right parietal lobe.magnetic resonance imaging of the brain showing a hyperintense lesion in the right frontal lobe and the right parietal region
OJO-5-191-g002	clinical photograph of the patient showing a large swelling in the right lower lobe of the right lower lobe and.clinical photograph of the patient showing a large swelling in the right lower lobe of the right lower lobe with.clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and the
jovr-5-3-218-779-1-pbf1	intraoperative photograph of the right eye showing a large cystic mass in the right upper lobe of the right lower.intraoperative photograph of the right eye showing a large cystic mass in the right lower lobe of the right lower.intraoperative photograph of the right eye showing a large cystic mass in the right upper lobe of the right upper
NJMS-5-126-g010	intraoperative photograph of the right eye of the patient in a patient with a history of a patient with a.intraoperative photograph of the right eye of the patient in a patient with a history of the left eye of.intraoperative photograph of the right eye of the patient in a patient with a history of the right eye of
JSTCR-4-53-g003	intraoperative photograph of the right eye showing a large mass in the right upper lobe of the right lower lobe.intraoperative photograph of the right eye showing a large mass in the right upper lobe of the right upper lobe.intraoperative photograph of the right eye showing a large mass in the right upper lobe of the right eye with
crg-0007-0112-g01	x-ray of the left knee showing a large left lower lobe mass in the right lower lobe of the right.x-ray of the left knee showing a large left lower lobe mass in the right lower lobe of the left.x-ray of the left knee showing a large left lower lobe mass in the right lower lobe and the right
jocmr-04-77-g002	axial ct scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.axial ct scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.axial ct scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
crj-01-181-g002	intraoperative picture <EOS>.intraoperative view of the lesion <EOS>.intraoperative view of the lesion in the right lower lobe <EOS>
NAJMS-5-331-g001	a patient with a skin lesion on the right side of the right eye of the patient in a patient.a patient with a skin lesion on the right side of the right eye of the patient on the right.a patient with a skin lesion on the right side of the right eye of the patient on the left
JFDS-3-77-g003	photomicrograph of the right eye showing a large tumor in the dermis of the dermis . <EOS>
abd-89-05-0792-g04	the lesion is seen in the right lower lobe. <EOS>
1749-8546-8-21-1	intraoperative view of the right eye showing a large mass in the right upper lobe of the right lower lobe.intraoperative view of the right eye showing a large mass in the right upper lobe of the right eye with.intraoperative view of the right eye showing a large mass in the right lower lobe of the right eye with
SNI-1-65-g002	histological section of the tumor showing a giant cell carcinoma in the dermis . <EOS>.histological section of the tumor showing a giant cell carcinoma in the dermis with a giant cell carcinoma . <EOS>
jkms-20-1062-g002	intraoperative photograph of the right eye showing a large mass in the right upper lobe of the right lower lobe.intraoperative photograph of the right eye showing a large mass in the right upper lobe of the right eye with.intraoperative photograph of the right eye showing a large mass in the right lower lobe of the right eye with
CCD-4-78-g001	chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe with.chest x-ray of the chest showing a large mass in the right upper lobe of the right lower lobe with.chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe and
NAJMS-7-233-g003	chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe with.chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe and.chest x-ray of the chest showing a large mass in the right lower lobe of the left lower lobe with
gkn124f7	scanning electron microscopy images of the surface of the surface of the surface of the surface of the surface of.scanning electron microscopy images of the surface of the surface of the surface of the surface of the surface in.scanning electron microscopy images of the surface of the surface of the surface of the surface of the surface and
12872_2015_112_Fig3_HTML	ultrasound scan of the right eye showing a large cystic mass in the right lower lobe with a large cystic.ultrasound scan of the left eye showing a large cystic mass in the right lower lobe with a large cystic.ultrasound scan of the right eye showing a large cystic mass in the right upper lobe with a large cystic
IJU-25-329-g001	intraoperative view of the right eye showing a large mass in the right upper lobe of the right lower lobe.intraoperative view of the right eye showing a large mass in the right upper lobe of the right upper lobe.intraoperative view of the right eye showing a large mass in the right upper lobe of the right eye with
1806-3713-jbpneu-41-01-00065-gf01	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
ijn-10-189Fig5	scanning electron micrograph of the surface of the surface of the brain in the group group <EOS>
KITP-11-23085-g001	intraoperative view of the right eye showing a large right eye with a large cystic lesion in the right lower.intraoperative view of the right eye showing a large right eye with a large cystic lesion in the right upper.intraoperative view of the right eye showing a large right eye with a large cystic mass in the right lower
JNRP-5-151-g002	intraoperative view of the right eye of the patient in a patient with a history of a patient with a.intraoperative view of the right eye of the patient in a patient with a history of a patient in the.intraoperative view of the right eye of the patient in a patient with a history of a patient in a
AnnGastroenterol-28-497-g002	intraoperative view of the right eye of the patient in a patient with a history of a patient with a.intraoperative view of the right eye of the patient in a patient with a history of a patient in the.intraoperative view of the right eye of the patient in a patient with a history of a patient in a
cnm0030-0232-f16	the patient in the right coronary artery in the right coronary artery in the right coronary artery . <EOS>
1752-1947-5-346-5	chest x-ray of the abdomen showing a large mass in the right lower lobe of the right lower lobe with.chest x-ray of the abdomen showing a large mass in the right lower lobe of the right lower lobe and.chest x-ray of the abdomen showing a large mass in the right lower lobe of the right upper lobe with
kju-54-638-g002	histological section of the tumor showing a giant cell carcinoma in the dermis . <EOS>.histological section of the tumor showing a giant cell carcinoma in the dermis with a giant cell carcinoma . <EOS>
JCIS-2-24-g006	preoperative anteroposterior and lateral radiographs of the left knee showing a large right hip and left lower lobe <EOS>
1752-1947-6-394-4	preoperative photograph <EOS>.preoperative view <EOS>.preoperative photograph of the patient showing the presence of the lesion <EOS>
ad-23-352-g003	preoperative photograph <EOS>
JNRP-6-139-g003	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
kjod-44-54-g001	clinical photograph <EOS>
mjhid-4-1-e2012018f2	ultrasound scan of the abdomen showing a large cystic mass in the right lobe of the right lobe of the.ultrasound scan of the abdomen showing a large cystic mass in the right lobe of the right lower lobe with.ultrasound scan of the abdomen showing a large cystic mass in the right lobe of the right lower lobe and
JISP-13-138-g001	scanning electron micrograph of the surface of the surface of the surface of the surface of the surface of the.scanning electron micrographs of the surface of the surface of the surface of the surface of the surface of the.scanning electron micrograph of the surface of the surface of the surface of the surface of the surface in the
jvms-75-1503-g004	preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the right lower lobe.preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the left lower lobe.preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the right upper lobe
vhrm-10-399Fig1	histological section of the resected specimen showing a giant cell carcinoma in the dermis . <EOS>
fpsyg-06-01661-g001	axial and coronal t2-weighted mr images of the brain in a patient with a high signal intensity in the right.axial and coronal t2-weighted mr images of the brain in a patient with a high signal intensity in the left.axial and coronal t2-weighted mr images of the brain in a patient with a high signal intensity in the brain
ymj-50-732-g002	histological examination of the right eye showing the presence of the tumor cells in the dermis . <EOS>
kjr-7-267-g002	axial ct scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.axial ct scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.axial ct scan of the abdomen showing a large cystic mass in the right upper lobe with a large cystic
HV-12-40-g002	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
IJN-23-304-g001	histological section of the resected specimen showing a giant cell carcinoma in the dermis . <EOS>
1477-7819-6-110-3	axial ct scan of the abdomen showing a large cystic mass in the right lobe of the right lower lobe.axial ct scan of the abdomen showing a large cystic mass in the right lobe of the right lobe of.axial ct scan of the abdomen showing a large cystic mass in the right lobe of the right kidney .
JPBS-4-157-g001	intraoperative photograph of the right eye of the patient in a patient with a history of a patient with a.intraoperative photograph of the right eye of the patient in a patient with a history of a patient in the.intraoperative photograph of the right eye of the patient in a patient with a history of a patient in a
ABR-3-28-g005	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
1752-1947-7-60-1	computed tomography scan of the abdomen showing a large mass in the right lower lobe of the right lower lobe.computed tomography scan of the abdomen showing a large mass in the right lower lobe of the right lobe of.computed tomography scan of the abdomen showing a large mass in the right lower lobe of the left lower lobe
aps-40-711-g007	a patient with a large lesion in the right upper lobe of the right lower lobe of the right eye.a patient with a large lesion in the right upper lobe of the right lower lobe of the left eye.a patient with a large lesion in the right upper lobe of the right lower lobe of the right lower
IJD-58-406f-g001	clinical photograph of the patient in a patient with a swelling of the left eye of the patient with a.clinical photograph of the patient in a patient with a swelling of the right eye of the patient with a.clinical photograph of the patient in a patient with a swelling of the left eye of a patient with a
cro-0005-0644-g01	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
IJRI-24-406-g003	axial computed tomography scan of the abdomen showing a large mass in the right lower lobe of the right lower.axial computed tomography scan of the abdomen showing a large mass in the right lower lobe of the right lobe.axial computed tomography scan of the abdomen showing a large mass in the right lower lobe of the right kidney
1477-7827-3-52-5	photomicrograph of the resected specimen showing a giant cell carcinoma in the dermis . <EOS>.photomicrograph of the resected specimen showing a giant cell carcinoma in the dermis with a giant cell carcinoma . <EOS>
1749-7922-9-17-1	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
IJD-58-243b-g004	photograph of the right eye of the patient in a patient with a patient in a patient with a large.photograph of the right eye of the patient in a patient with a patient in a patient with a patient.photograph of the right eye of the patient in a patient with a patient in a patient with a history
1752-1947-5-351-1	clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and the.clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and a.clinical photograph of the patient showing a swelling in the right lower lobe of the left lower lobe and the
IJN-24-38-g005	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
ETM-06-02-0411-g01	ultrasound scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic mass.ultrasound scan of the right eye showing a large mass in the right lower lobe with a large cystic mass.ultrasound scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic lesion
heartjnl-2013-303896f02	ct scan of the abdomen showing a large cystic mass in the right lower lobe of the right lower lobe.ct scan of the abdomen showing a large cystic mass in the right lower lobe of the right lobe of.ct scan of the abdomen showing a large cystic mass in the right lower lobe of the right kidney with
1806-3713-jbpneu-41-04-00395-gf2	axial ct scan of the abdomen shows a large mass in the right lower lobe with a large mass in.axial ct scan of the abdomen shows a large mass in the right lower lobe with a large cystic mass.axial ct scan of the abdomen shows a large mass in the right lower lobe with a large cystic lesion
1806-3713-jbpneu-41-03-00281-gf02-pt	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
LI-32-395-g002	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
EJD-8-389-g004	the ecg of the patient in a patient with a history of the left coronary artery in the left coronary.the ecg of the patient in a patient with a history of the left coronary artery in the right coronary.the ecg of the patient in a patient with a history of the left coronary artery and the left coronary
IDOJ-4-251-g002	histological section of the resected specimen showing a giant cell carcinoma in the dermis . <EOS>
13256_2015_748_Fig6_HTML	intraoperative picture <EOS>.intraoperative view of the lesion <EOS>.intraoperative view of the lesion in the right eye . <EOS>
IDOJ-5-25-g002	preoperative photograph <EOS>.preoperative view <EOS>
1678-7757-jaos-15-06-0465-gf02	preoperative photograph <EOS>.preoperative view <EOS>.clinical photograph <EOS>
DFA-2-6287-g003	ct scan of the abdomen showing a large mass in the right lower lobe of the right lower lobe and.ct scan of the abdomen showing a large mass in the right lower lobe of the right lower lobe with.ct scan of the abdomen showing a large mass in the right lower lobe of the left lower lobe and
1471-2202-11-142-4	the right coronary artery in the right coronary artery . <EOS>.the right coronary artery in the right coronary artery. <EOS>.the right coronary artery in the right coronary artery in the right coronary artery . <EOS>
1477-9560-11-19-4	coronary angiography of the left coronary artery shows a large aneurysm in the right coronary artery . <EOS>
1471-2261-14-41-3	the ecg of the patient in a patient with a normal coronary artery and the left coronary artery. <EOS>
1752-1947-2-230-1	preoperative photograph <EOS>.preoperative view <EOS>
ajcr-3-17.f1	computed tomography scan of the abdomen showing a large mass in the right lower lobe of the right lower lobe.computed tomography scan of the abdomen showing a large mass in the right lower lobe of the right lobe of.computed tomography scan of the abdomen showing a large mass in the right lower lobe of the right kidney with
abd-88-0098-g02	clinical photograph of the patient showing a large swelling in the right lower lobe of the right lower lobe and.clinical photograph of the patient showing a large swelling in the right lower lobe of the right lower lobe with.clinical photograph of the patient showing a large swelling in the right lower lobe of the right lower lobe of
1752-1947-8-147-2	preoperative x-ray of the left knee showing a large right hip and left lower lobe <EOS>.preoperative x-ray of the left hip showing a large left hip and left lower lobe <EOS>.preoperative x-ray of the left knee showing a large left hip and left lower lobe <EOS>
eplasty13ic61_fig2	axial and coronal t2-weighted mr images of the brain in a patient with a high signal intensity in the right.axial and coronal t2-weighted mr images of the brain in a patient with a high signal intensity in the left.axial and coronal t2-weighted mr images of the brain in a patient with a high signal intensity in the posterior
1746-160X-9-41-3	the right eye of the patient in a patient with a history of a patient in a patient with a.the right eye of the patient in a patient with a history of a patient in a patient with an.the right eye of the patient in a patient with a history of a patient in the patient with a
jls0031331300001	preoperative x-ray of the left knee showing a large left hip and left lower lobe and a large right lower.preoperative x-ray of the left knee showing a large right hip and left lower lobe with a large right lower.preoperative x-ray of the left knee showing a large right hip and left lower lobe with a large left lower
isd-42-261-g005	the right eye of the patient in the patient of the patient in a patient with a history of a.the right eye of the patient in the patient of the patient in a patient with a history of the.the right eye of the patient in the patient of the patient in a patient with a patient with a
JRPP-3-72-g003	clinical photograph of the patient in a patient with a swelling of the right eye of the patient with a.clinical photograph of the patient in a patient with a swelling of the left eye of the patient with a.clinical photograph of the patient in a patient with a swelling of the left eye of a patient with a
JCN-3-143-g002	chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe with.chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe and.chest x-ray of the chest showing a large mass in the right lower lobe of the left lower lobe with
rju02701	chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe with.chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe and.chest x-ray of the chest showing a large mass in the right lower lobe of the left lower lobe with
13023_2014_144_Fig10_HTML	a patient with the left coronary artery and the right coronary artery. <EOS>.a patient with the left coronary artery and the left coronary artery in the right coronary artery . <EOS>
1477-7819-6-78-3	histological section of the right kidney showing a giant cell carcinoma in the dermis . <EOS>
fped-02-00053-g001	histological section of the biopsy showing a giant cell carcinoma in the dermis . <EOS>.histological section of the biopsy showing a giant cell carcinoma in the dermis with a giant cell carcinoma . <EOS>
gnl-8-109-g002	scanning electron microscopy image of the surface of the surface of the surface of the surface of the surface of.scanning electron microscopy image of the surface of the surface of the surface of the surface of the surface in.scanning electron microscopy image of the surface of the surface of the surface of the surface of the patient with
IJA-55-456-g008	ultrasound scan of the abdomen showing a large mass in the right lower lobe of the right lobe of the.ultrasound scan of the abdomen showing a large mass in the right lower lobe of the right lower lobe with.ultrasound scan of the abdomen showing a large mass in the right lower lobe of the right lower lobe and
wjmh-31-179-g002	ultrasound scan of the abdomen showing a large cystic mass in the right lobe of the right lobe of the.ultrasound scan of the abdomen showing a large cystic mass in the right lobe of the right lower lobe with.ultrasound scan of the abdomen showing a large cystic mass in the right lobe of the right lower lobe and
1477-7800-3-18-7	intraoperative view of the resected specimen <EOS>
mehdiophth-3-111-g003	fundus photograph of the right eye of the patient in a patient with a right eye of a patient with.fundus photograph of the right eye of the patient in a patient with a right eye of the left eye.fundus photograph of the right eye of the patient in a patient with a right eye of the patient with
ajcr-2-25.f1	intraoperative picture <EOS>.intraoperative view of the lesion <EOS>.intraoperative view of the lesion in the right lower lobe <EOS>
40064_2015_1173_Fig1_HTML	sem micrographs of the surface of the surface of the surface of the surface of the surface of the surface.sem micrograph of the surface of the surface of the surface of the surface of the surface of the surface.sem image of the surface of the surface of the surface of the surface of the surface of the surface
1471-2342-8-5-2	ultrasound scan of the abdomen showing a large mass in the right upper lobe of the right lobe of the.ultrasound scan of the abdomen showing a large mass in the right upper lobe of the right lower lobe with.ultrasound scan of the abdomen showing a large mass in the right upper lobe of the right lower lobe and
WIITM-10-25417-g001	clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and the.clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and a.clinical photograph of the patient showing a swelling in the right lower lobe of the left lower lobe and the
1556-276X-9-201-4	scanning electron microscopy image of the surface of the surface of the surface of the surface of the surface of.scanning electron microscopy image of the surface of the surface of the surface of the left eye of the patient.scanning electron microscopy image of the surface of the surface of the surface of the surface of the left eye
IJEM-17-733-g001	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
jls0011329750001	magnetic resonance imaging of the brain showing a hyperintense lesion in the right frontal lobe and the right frontal lobe.magnetic resonance imaging of the brain showing a hyperintense lesion in the right frontal lobe and the right parietal lobe.magnetic resonance imaging of the brain showing a hyperintense lesion in the right frontal lobe and the right parietal region
JCytol-28-134-g003	histological section of the right kidney showing a giant cell carcinoma in the dermis . <EOS>
pone.0112423.g006	preoperative x-ray of the left knee showing a large right hip and left lower lobe and left lower lobe <EOS>.preoperative x-ray of the left knee showing a large left hip and left lower lobe and left lower lobe <EOS>.preoperative x-ray of the left hip showing a large left hip and left lower lobe and left lower lobe <EOS>
ARYA-09-164f1	intraoperative view of the left eye showing a large right coronary artery in the right coronary artery . <EOS>
pone.0111271.g002	scanning electron micrograph of the surface of the surface of the surface of the surface of the surface of the.scanning electron microscopy of the surface of the surface of the surface of the surface of the surface of the.scanning electron micrographs of the surface of the surface of the surface of the surface of the surface of the
rcse9408-e1-01	clinical photograph of the patient showing a large swelling in the right lower lobe of the right lower lobe and.clinical photograph of the patient showing a large swelling in the right lower lobe of the right lower lobe with.clinical photograph of the patient showing a large swelling in the right lower lobe of the left lower lobe and
IJPsyM-34-94-g001	photograph of the right eye of the patient in a patient with a history of a patient in a patient.photograph of the right eye of the patient in a patient with a history of a patient in the patient.photograph of the right eye of the patient in a patient with a history of a patient in the right
1746-160X-4-21-1	preoperative radiograph <EOS>.postoperative radiograph <EOS>.preoperative x-ray of the patient showing a large left lower lobe and left lower lobe and left lower lobe. <EOS>
1746-1596-5-11-1	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
AMS-2-60-g006	intraoperative photograph of the right eye showing the presence of the right eye of the right eye of the left.intraoperative photograph of the right eye showing the presence of the right eye of the right eye of the right.intraoperative photograph of the right eye showing the presence of the right eye of the right eye of the patient
pone.0097465.g006	axial computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large.axial computed tomography scan of the abdomen showing a large cystic mass in the right upper lobe with a large.axial computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a heterogeneous
PAMJ-13-25-g003	clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and the.clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and a.clinical photograph of the patient showing a swelling in the right lower lobe of the left lower lobe and the
1746-160X-9-4-3	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
ce-46-106-g001	fundus photograph of the right eye showing a large mass in the right eye of the right eye of the.fundus photograph of the right eye showing a large cystic mass in the right eye of the right eye with.fundus photograph of the right eye showing a large mass in the right eye of the right eye with a
ajcr-4-13.f2	histological section of the resected specimen showing a giant cell carcinoma in the dermis . <EOS>
JOMFP-17-149b-g002	preoperative x-ray of the left knee showing a large right hip and left lower lobe <EOS>.preoperative x-ray of the left knee showing a large left hip and left lower lobe <EOS>.preoperative x-ray of the left knee showing a large right hip and left lower lobe and left lower lobe. <EOS>
1532-429X-13-7-10	ultrasound of the right eye shows a large cystic mass in the right lower lobe with a large mass in.ultrasound of the right eye shows a large cystic mass in the right lower lobe with a large cystic mass.ultrasound of the right eye shows a large cystic mass in the right lower lobe with a large cystic lesion
1752-1947-4-143-1	axial and coronal t2-weighted mr images of the brain in a patient with a high signal intensity in the right.axial and coronal t2-weighted mr images of the brain in a patient with a high signal intensity in the left.axial and coronal t2-weighted mr images of the brain in a patient with a high signal intensity in the brain
kjp-52-541-g002	ct scan of abdomen <EOS>
JCIS-3-58-g009	preoperative radiograph <EOS>
1746-160X-3-7-11	clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and the.clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and a.clinical photograph of the patient showing a swelling in the right lower lobe of the left lower lobe and the
JMedLife-06-97-g001	magnetic resonance imaging of the brain showing a large mass in the right lobe of the right lobe of the.magnetic resonance imaging of the brain showing a large mass in the right lobe of the left lobe of the.magnetic resonance imaging of the brain showing a large mass in the right lobe of the right frontal lobe and
crg0002-0486-f04	histological section of the tumor showing a giant cell carcinoma in the dermis . <EOS>.histological section of the tumor showing a giant cell carcinoma in the dermis with a giant cell carcinoma . <EOS>
1752-1947-6-192-2	clinical photograph of the patient showing the presence of the lesion in the right lower lobe of the right lower.clinical photograph of the patient showing the presence of the lesion in the right lower lobe of the left lower.clinical photograph of the patient showing the presence of the lesion in the right lower lobe of the right eye
1471-2334-13-73-2	the ecg of the patient in a patient with a history of the left coronary artery in the left coronary.the ecg of the patient in a patient with a history of the left coronary artery in the right coronary.the ecg of the patient in a patient with a history of the left coronary artery and the left coronary
1752-1947-4-22-2	a patient with a skin lesion in the right upper lobe of the right lower lobe of the right eye.a patient with a skin lesion in the right upper lobe of the right lower lobe of the left eye.a patient with a skin lesion in the right upper lobe of the right lower lobe of the right lower
JOMFP-17-10-g005	scanning electron micrograph of the surface of the surface of the left eye of the patient in a patient with.scanning electron micrograph of the surface of the surface of the left eye of the patient in the patient with.scanning electron micrograph of the surface of the surface of the left eye of the patient in a patient of
12891_2015_554_Fig1_HTML	scanning electron micrograph of the surface of the surface of the surface of the surface of the surface of the.scanning electron micrograph of the surface of the surface of the surface of the surface of the surface in the.scanning electron micrograph of the surface of the surface of the surface of the surface of the surface of a
NJMS-2-96-g004	preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the right lower lobe.preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the left lower lobe.preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the right upper lobe
